claim_number,age_of_driver,safety_rating,annual_income,high_education,address_change,zip_code,claim_date,past_num_of_claims,liab_prct,police_report,age_of_vehicle,vehicle_price,total_claim,injury_claim,policy_deductible,annual_premium,days_open,form_defects,gender_M,marital_status_0,marital_status_1,property_status_Rent,claim_day_of_week_Friday,claim_day_of_week_Monday,claim_day_of_week_Saturday,claim_day_of_week_Sunday,claim_day_of_week_Thursday,claim_day_of_week_Tuesday,claim_day_of_week_Wednesday,accident_site_Local,accident_site_Parking Lot,witness_present_0,witness_present_1,channel_Online,channel_Phone,vehicle_category_Large,vehicle_category_Medium,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,fraud_reported_Y
414724,39,73,58612.8,1,0,50048,2023-08-12,0,25,0,8.0,24360.59273,26633.27819,5196.552552,1000,1406.91,8.641800488,5,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
269568,33,72,35936.0,0,1,50006,,0,45,0,2.0,23457.35282,26707.46021,7957.267641,2000,1415.74,10.00976115,5,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True
974592,31,76,84940.8,1,1,15021,,0,100,0,7.0,19752.42523,15279.38583,3014.110884,1000,1199.44,8.264031851,3,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
995328,53,93,73526.4,0,1,85027,,0,100,0,1.0,32910.34224,20909.27772,5671.599025,500,708.64,9.235943007,4,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False
1140480,41,87,59403.2,1,0,80046,2024-09-04,0,25,0,6.0,28570.37675,34493.97997,4064.569489,1000,1187.96,10.25962917,2,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False
1244160,42,68,29779.2,1,0,80042,,0,84,1,4.0,12689.88429,6535.967672,2812.365265,2000,972.18,9.443031698,2,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True
1700352,50,89,62611.2,1,1,20151,,0,10,0,6.0,53451.42101,7131.377201,5712.282494,2000,1104.5,8.588020977,3,True,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False
1804032,42,68,79776.0,1,0,80015,,1,77,1,2.0,17740.69947,28271.74319,9218.58245,1000,1088.34,10.20650635,2,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
2135808,30,79,34419.0,1,1,50041,,0,61,0,7.0,28091.43192,15488.98712,3973.694785,1000,988.45,7.041739847,3,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,True
2198016,49,57,62248.0,1,0,80015,,0,18,1,10.0,23264.32531,33770.80035,4264.395565,2000,1155.55,9.49194457,5,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False
2322432,70,58,67980.8,1,0,20158,2024-11-06,0,50,0,5.0,29214.5357,19172.68928,2417.922997,500,1451.62,7.454180856,4,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
2343168,28,49,53307.2,1,1,15057,,1,50,1,5.0,23876.17436,32074.03469,3456.679158,500,1737.66,10.66792937,8,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True
2446848,38,78,58198.4,0,0,20140,,0,50,1,3.0,17991.21351,12246.51763,7204.667355,500,538.17,10.04835868,5,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False
2592000,42,92,39814.4,1,1,50009,2023-09-03,0,72,1,4.0,12006.5627,12427.00182,3388.568025,2000,1273.7,9.966159716,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
3525120,23,82,20164.8,1,0,15015,,0,80,1,6.0,12224.5503,24375.06253,5335.459014,500,1848.81,9.411242095,4,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True
3608064,55,83,14104.0,0,1,80107,,0,69,0,4.0,12845.13183,30130.72245,6011.22711,500,1362.87,8.528898183,3,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True
3649536,44,65,160546.0,1,1,85001,2024-09-01,0,86,1,4.0,76566.41329,30982.76488,10852.36645,500,1239.22,8.592964817,3,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False
3981312,37,68,7786.0,0,1,80022,,0,51,1,5.0,34708.88292,23599.39624,5904.032433,500,1105.49,8.546369217,9,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
4209408,40,77,99026.0,1,1,50047,2023-08-06,0,50,1,5.0,19450.25858,12600.65557,5891.41743,1000,1425.54,9.551207744,2,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False
4250880,35,63,56881.6,1,1,80003,,0,93,1,3.0,22227.21526,18229.27521,5429.714276,1000,1038.09,9.545037903,3,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
4292352,54,79,63856.0,1,1,80005,,0,32,1,10.0,34694.52214,12470.68379,8093.500512,1000,1489.24,8.645313687,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False
4748544,27,36,32728.0,1,0,50023,,2,71,1,5.0,7879.238294,41443.38211,6794.780109,2000,769.95,9.057925582,2,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True
4790016,42,65,179808.0,0,1,85072,2023-10-05,3,93,1,6.0,34221.32516,21670.54025,4019.553749,2000,1514.72,10.20500492,5,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False
4955904,62,90,66056.0,1,1,50021,,0,76,1,4.0,16521.38304,24548.54157,5001.112247,500,1612.43,9.534852522,2,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
5101056,34,82,16429.0,0,1,20106,,0,0,1,5.0,20504.51437,44689.78043,3431.849274,2000,1136.83,8.164786494,4,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True
5121792,31,94,84939.2,1,1,85077,2023-03-09,1,94,1,4.0,21003.68362,22015.10594,5270.906542,2000,1322.78,8.63599319,3,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
5163264,44,73,60563.2,1,1,50043,,1,81,1,1.0,15002.20433,15462.54245,3812.903368,1000,1483.25,8.539403447,2,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
5370624,47,44,61587.2,1,0,50002,,0,57,0,4.0,14516.1342,12701.78418,4627.458464,500,1463.82,7.48828902,7,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
5474304,62,75,66012.8,0,1,20137,2023-03-01,0,28,1,4.0,18719.35593,34051.34729,3011.284525,500,1497.35,9.101195924,5,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
5536512,32,93,55452.8,1,0,80010,,0,100,0,8.0,15699.24609,9448.857968,4130.137132,500,1495.1,7.8403765,3,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False
5660928,46,45,11246.0,0,1,15025,,1,34,1,2.0,25602.20531,30860.11818,4499.059204,2000,1338.5,9.64053346,3,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True
5723136,57,65,14693.0,1,0,85007,2024-08-09,1,64,1,1.0,9732.691388,26752.07125,5461.151361,1000,1074.07,9.812436192,3,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True
6158592,56,83,44387.0,1,1,20148,,0,27,0,3.0,10883.7118,11807.93998,4511.907191,2000,1103.58,10.5576621,6,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True
6386688,51,65,62905.6,0,1,20122,,0,27,0,4.0,8691.36746,20342.4402,5009.360744,500,964.79,8.069645493,6,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
7153920,45,57,60889.6,0,1,85006,,1,50,1,3.0,41194.09871,16502.57797,2314.389231,1000,1439.34,8.668064407,5,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False
7236864,28,83,53315.2,0,1,20117,,0,97,1,3.0,11213.12223,26346.03809,4432.226653,1000,1198.15,8.929089579,2,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False
7547904,55,93,64113.6,1,1,80002,,3,51,1,3.0,32829.02668,5747.298004,1882.484537,500,1398.51,8.835088933,6,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True
